county,new_id,sex,race,judge_id,case_type,offence_category,age_offense,age_judge,prior_felony,prior_misdemeanor,prior_criminal_traffic,highest_severity,release,probation,med_house_income,year,jail,violent_crime
40,315697,1,3,1629,2,49,49,49,0,0,0,10.0,1,1.0,47564.0,2001,0.0,0
59,287880,1,3,1481,2,64,17,17,0,1,0,10.0,1,1.0,43006.0,2002,0.0,1
36,126910,0,3,383,2,49,22,22,0,0,1,10.0,0,0.0,45203.0,2003,20.0,0
64,279364,0,3,520,2,11,34,35,0,1,0,10.0,1,1.0,63438.0,2005,0.0,0
51,454300,1,0,1370,2,49,38,38,1,1,0,10.0,0,0.0,50516.0,2003,15.0,0
40,423611,1,0,1621,2,15,49,49,1,0,0,7.0,1,1.0,37685.54652582409,2000,0.0,0
40,831384,1,3,1629,0,35,31,35,0,0,0,7.0,1,0.0,83072.0,2005,40.0,0
40,55029,1,0,607,1,0,38,39,5,0,0,18.0,0,0.0,37685.54652582409,2006,5475.0,1
40,614547,1,3,607,2,13,37,37,2,2,0,9.0,1,0.0,54679.0,2002,70.0,0
51,492357,1,4,352,1,38,30,31,1,1,0,18.0,0,0.0,37462.0,2016,2190.0,1
67,699449,1,0,795,1,49,18,19,0,0,0,10.0,1,1.0,13905.0,2013,0.0,0
67,122267,0,0,996,1,55,49,49,7,7,0,12.0,0,0.0,59565.0,2016,545.0,0
51,444562,1,0,684,1,14,27,28,4,2,2,14.0,1,1.0,52500.0,2015,0.0,0
37,612015,0,0,634,2,41,52,53,0,0,0,10.0,1,1.0,53247.0,2016,0.0,0
13,72207,1,3,544,2,5,22,22,0,1,0,9.0,1,0.0,26383.0,2005,0.0,0
13,34355,0,0,635,1,5,17,17,1,1,0,10.0,1,1.0,69902.0,2016,0.0,0
63,776917,1,3,550,0,35,44,45,1,0,1,7.0,1,1.0,36250.0,2003,0.0,0
13,393294,1,3,1603,1,8,46,48,0,0,0,9.0,1,0.0,82821.0,2013,0.0,0
40,643858,1,3,598,1,38,43,44,0,0,0,17.0,1,1.0,48805.0,2010,0.0,0
40,51704,1,3,179,1,16,22,23,3,3,1,12.0,1,1.0,96667.0,2013,0.0,0
